BIDARA CINA,village,-6.2330194,106.8664693
BUKIT DURI,village,-6.2210945,106.8584257
STIS,shelter,-6.2326262,106.8666358
PT MALCOLM INDONESIA,shelter,-6.232713,106.8664084
